epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,14179.8,0.8925,0.5407,0.95512,0.83488,0.76974,0.81822,0.59617,0.85311,0.5206,0.97289,0.00472,0.00472,0.00472
162,14267.8,0.89831,0.54481,0.95607,0.8386,0.76921,0.8189,0.59701,0.85268,0.52018,0.97274,0.004687,0.004687,0.004687
163,14355.8,0.89125,0.54006,0.95478,0.84064,0.76858,0.81907,0.59746,0.85275,0.52002,0.9727,0.004654,0.004654,0.004654
164,14443.7,0.8949,0.54352,0.95603,0.83825,0.76826,0.8186,0.59735,0.85237,0.5198,0.97276,0.004621,0.004621,0.004621
165,14531.2,0.89231,0.5406,0.95387,0.83724,0.76916,0.81872,0.59752,0.85219,0.51964,0.97254,0.004588,0.004588,0.004588
166,14619.5,0.89389,0.5408,0.95455,0.83675,0.76844,0.81871,0.59738,0.85197,0.51947,0.97249,0.004555,0.004555,0.004555
167,14706.9,0.88923,0.53912,0.95315,0.83691,0.76808,0.81878,0.59735,0.85164,0.51923,0.97226,0.004522,0.004522,0.004522
168,14794.3,0.8872,0.53867,0.95363,0.83897,0.76811,0.81956,0.59768,0.85142,0.51908,0.97216,0.004489,0.004489,0.004489
169,14882.1,0.88596,0.53687,0.95326,0.84057,0.76657,0.8195,0.59849,0.85108,0.51872,0.97193,0.004456,0.004456,0.004456
170,14970.2,0.88687,0.53567,0.95246,0.83858,0.76733,0.81946,0.59854,0.85075,0.51844,0.97174,0.004423,0.004423,0.004423
171,15058,0.88268,0.5328,0.94999,0.83869,0.76609,0.81966,0.59867,0.85066,0.51832,0.97168,0.00439,0.00439,0.00439
172,15146.2,0.88184,0.535,0.95286,0.84055,0.76432,0.81971,0.59946,0.8508,0.51829,0.97162,0.004357,0.004357,0.004357
173,15234.5,0.88429,0.53496,0.95243,0.84072,0.76699,0.82132,0.60006,0.85063,0.51815,0.97146,0.004324,0.004324,0.004324
174,15321.9,0.88346,0.53398,0.95039,0.84103,0.7665,0.82143,0.60075,0.85044,0.518,0.97141,0.004291,0.004291,0.004291
175,15410,0.87845,0.53051,0.94934,0.84251,0.76602,0.8214,0.60076,0.85018,0.51796,0.9712,0.004258,0.004258,0.004258
176,15498,0.88064,0.53221,0.95168,0.84309,0.76611,0.82166,0.60056,0.84989,0.51788,0.97111,0.004225,0.004225,0.004225
177,15585.4,0.87582,0.52827,0.94841,0.84591,0.76843,0.82176,0.60104,0.84958,0.51761,0.97091,0.004192,0.004192,0.004192
178,15673.4,0.87362,0.52684,0.94983,0.84565,0.76886,0.82206,0.60125,0.84949,0.51754,0.97092,0.004159,0.004159,0.004159
179,15761.5,0.87601,0.5287,0.94778,0.84895,0.77023,0.82335,0.60168,0.84922,0.51743,0.97079,0.004126,0.004126,0.004126
180,15849.7,0.87277,0.52503,0.94701,0.84728,0.77258,0.82382,0.60247,0.84919,0.51716,0.9706,0.004093,0.004093,0.004093
181,15937.9,0.87322,0.52781,0.94865,0.84881,0.77067,0.82365,0.60176,0.84877,0.51706,0.97046,0.00406,0.00406,0.00406
182,16025.8,0.87418,0.52781,0.9492,0.8463,0.76852,0.82353,0.60179,0.84861,0.51724,0.97037,0.004027,0.004027,0.004027
183,16113.3,0.87097,0.52452,0.94719,0.84764,0.76832,0.82406,0.60146,0.84857,0.5169,0.97029,0.003994,0.003994,0.003994
184,16201,0.86675,0.52397,0.94451,0.84055,0.77202,0.82409,0.60195,0.84831,0.51677,0.97021,0.003961,0.003961,0.003961
185,16288.2,0.86609,0.52184,0.94549,0.84068,0.77099,0.82429,0.60237,0.84809,0.51645,0.97015,0.003928,0.003928,0.003928
186,16375.5,0.86735,0.52256,0.94583,0.84183,0.77012,0.82495,0.60213,0.84826,0.51647,0.97016,0.003895,0.003895,0.003895
